text,label
"I woke up healthy, surrounded by love. What more could I want.",joy
I opened a book from my childhood and a note from my father fell out.,surprise
They lied to my face and expected me to just take it.,anger
No way!,surprise
Their birthday is next week and I don't know what to do with that.,sadness
I feel like I'm running on empty but also have nowhere to go.,bored
Being around them feels like coming home.,love
"Ugh, bored.",bored
He showed up at my doorstep with flowers after ten years apart.,surprise
I'm stunned.,surprise
I need stimulation. This silence is killing me.,bored
My best friend drove four hours just because I sounded sad on the phone.,love
All the shows I used to love seem boring now.,bored
I don't have a single person I could call right now.,sadness
I've been smiling all day for no reason.,joy
I cleaned the apartment and it feels refreshing.,neutral
I saw someone who looked like them and my heart stopped.,sadness
Every small symptom sends me spiraling.,fear
My brain is running at 5 percent capacity today.,bored
I watered the plants and checked mail.,neutral
I just got published. My words are out there.,joy
I've been flipping channels for thirty minutes and nothing holds my attention.,bored
I can't focus because the anxiety keeps pulling me under.,fear
I look at my kids and I understand what unconditional means.,love
I'm on cloud nine.,joy
I left work feeling energized for once.,joy
"Sometimes the universe just gives you exactly what you need, and today was one of those days.",joy
You mean the world to me.,love
That revelation changed everything I thought I knew.,surprise
I've never felt this understood before.,love
I spent the whole day at work pretending everything was fine but inside I was barely holding it together because I'm convinced they're going to let me go.,fear
We stayed up talking until 3am and it felt like no time passed.,joy
The sunset tonight made everything feel worth it.,joy
How many times do I have to explain the same thing before someone listens.,anger
I wake up grateful that I get to do life with you.,love
I spent the whole day in bed and accomplished nothing.,sadness
"I love every version of you, past, present, and future.",love
I love how they light up when they talk about things they care about.,love
Unforgivable.,anger
She texted me 'got home safe' without me asking.,love
Love isn't a word. It's the way you show up every single day.,love
I'm elated.,joy
There's a weight on my chest that never goes away.,sadness
I sat in the parking lot for twenty minutes because I couldn't face going inside.,sadness
"I just stood there, mouth open, completely dumbfounded.",surprise
Is it possible to be bored of being bored?,bored
This hurts so much.,sadness
Don't tell me to calm down when you're the reason I'm upset.,anger
I feel like I'm slowly fading away.,sadness
You don't get to hurt me and then act like the victim.,anger
I can't shake this feeling of dread.,fear
I froze during the presentation and now I can't stop replaying it.,fear
I keep imagining the worst and I can't stop.,fear
My mom called just to say she's proud of me.,joy
This pizza is absolutely incredible.,joy
I'm floored.,surprise
Mind blown.,surprise
I found someone who makes silence comfortable.,love
I hate that I care this much about something that doesn't care about me.,anger
Just doing what needs to be done.,neutral
The highlight of my day was watching the microwave timer count down.,bored
I'm worried sick.,fear
Things are finally going right.,joy
Stop making excuses and own up to what you did.,anger
"Nobody teaches you how to grieve. You just drown until you learn to float, and some days you go right back under.",sadness
I feel like time stopped but in the most uninteresting way possible.,bored
I'm annoyed that I even have to deal with this.,anger
Just maintaining my routine.,neutral
I'm scared.,fear
I won the raffle. I never win anything.,surprise
My mind is clear.,neutral
Took the scenic route today. It was pleasant.,neutral
I just exist. That's the whole update.,bored
I've never been so disrespected in my life.,anger
I'm in a steady head space today.,neutral
Nothing excites me. Nothing annoys me. I'm just flat.,bored
They changed the deadline without telling anyone.,anger
My garden is blooming beautifully this spring and I feel like I had a hand in creating something beautiful.,joy
I have a list of things to do but zero motivation to do any of them.,bored
Today I realized how far I've come and I'm proud of myself.,joy
I'm trapped in the most boring day of my life.,bored
I caught the earlier train today.,neutral
I'm not sad. I'm not happy. I'm just here.,bored
I've never felt this much resentment toward someone.,anger
I went for a walk. It was nice.,neutral
I love how you make even boring days feel special.,love
"My grandmother still writes me letters by hand even though her hands shake, and each one feels like a treasure.",love
I'm good. Nothing feels urgent or overwhelming.,neutral
She said yes!,joy
I literally froze when they told me.,surprise
What in the world.,surprise
Absolutely thrilled.,joy
"He remembered the small things, and that meant everything.",love
What if.,fear
"I met someone who makes me want to be a better person, and that alone makes me happy.",joy
My boss took credit for my entire project.,anger
I'm furious at myself for letting this happen.,anger
I keep second-guessing every decision I make.,fear
I have access to literally all of human knowledge and I'm still bored.,bored
They ruined everything and they don't even feel bad about it.,anger
I'm afraid I'm turning into someone I don't want to be.,fear
I spent the morning focusing on deep work.,neutral
The rules only apply when it's convenient for them.,anger
"I turned around and there he was, completely out of nowhere.",surprise
Sometimes I forget how good I have it. Not today.,joy
I got a message from someone I never thought I'd hear from again.,surprise
I feel dread in the pit of my stomach and it won't go away.,fear
Can't complain.,neutral
I danced in the rain today and didn't care who saw.,joy
My mom always knows exactly what to say.,love
The panic comes in waves and each one is worse.,fear
"She is my home, no matter where we are.",love
I keep checking the locks. I know I already checked but I can't stop.,fear
I think the loneliest feeling is being surrounded by people who don't see you struggling.,sadness
I'm afraid to look at my bank account.,fear
I'm genuinely optimistic about the future for once.,joy
I feel like I should be doing something but I don't know what.,bored
I miss who I used to be before all of this happened.,sadness
I question every decision I make and it's exhausting.,fear
I was laughing so hard my stomach hurt.,joy
My chest literally aches from how much I miss them.,sadness
I've been biting my tongue for way too long.,anger
What if they find out I'm faking it.,fear
"Hold on, did I hear you right?",surprise
My quiet coworker just delivered the most powerful speech I've ever heard.,surprise
I feel light and free for the first time in forever.,joy
My dad still calls me his little girl even though I'm thirty.,love
Came home to a surprise I will never forget.,surprise
I would cross oceans for the people at this table.,love
Someone complimented my work and it made my entire week.,joy
I'm so happy!,joy
The way he looks at her when she's talking is everything.,love
I haven't slept properly in days because of the worry.,fear
He tells me I'm beautiful when I feel my worst.,love
"Every milestone I hit, I wish they were here to see it.",sadness
My daughter fell asleep in my arms and I never wanted to move.,love
Looking forward to a quiet weekend.,neutral
I feel like I'm walking on eggshells constantly and I don't know how much longer I can keep this up.,fear
I hit my savings goal for the first time ever.,joy
I walked into the room and it was completely transformed.,surprise
I made it!,joy
I took a walk around the block at lunch. Fresh air was nice.,neutral
Everything is stable. Steady.,neutral
I can't eat. Everything tastes like nothing.,sadness
I'm present but not particularly engaged or disengaged.,neutral
I'm literally just lying here rotting.,bored
I watched her walk down the aisle and every doubt and fear I ever had dissolved in that moment.,love
I used to love rainy days but now they just amplify the emptiness inside me.,sadness
Not bad.,neutral
I feel blank. Like a factory reset happened on my personality.,bored
He stayed through the worst of it and never once complained.,love
I didn't know my heart could feel this full.,love
My body is in constant fight-or-flight mode.,fear
My chest is heavy.,sadness
Sometimes I lie awake imagining the worst possible outcome.,fear
I wrote a letter to my dad telling him everything I never said.,love
I've refreshed the same page fifteen times hoping for something new.,bored
I want to grow old with this person.,love
Blindsided.,surprise
I'm feeling pretty balanced right now.,neutral
Everything just clicked into place today.,joy
I feel like my life is buffering.,bored
Life just threw me the most unexpected curveball.,surprise
I lay awake at 3am worrying about things I can't control.,fear
I finished the marathon. I actually finished it!,joy
I keep dreaming about them and waking up hurts even more.,sadness
The way my grandmother holds my hand — I want to remember it forever.,love
I got the job after six months of rejection!,joy
All I want is to go back to how things were before everything fell apart.,sadness
That was the last person I expected to see at that event.,surprise
The audacity of some people is unbelievable.,anger
I got the call and I was so shocked I couldn't even respond.,surprise
My neighbor just casually mentioned they used to be a spy.,surprise
I found the ring I was going to give her.,sadness
Someone told me great news and I couldn't even fake a reaction.,bored
I stayed late every day this week and nobody even noticed.,anger
The kids put on a surprise show for me and it was the most adorable thing I've ever witnessed.,joy
My brain won't shut off long enough for me to rest.,fear
Watching him sleep peacefully makes my heart so full.,love
Every cell in my body is buzzing with happiness.,joy
It hits different when you realize nobody noticed you were struggling.,sadness
Nothing sounds appealing right now.,bored
Yawn.,bored
It's been months since they left and I still set two places at the table sometimes before I catch myself.,sadness
Can you seriously not see how wrong this is.,anger
Just another Tuesday.,neutral
I whispered happy birthday to an empty room.,sadness
How is this fair. Please explain to me how this is fair.,anger
I thought I was getting better but then a song came on and I realized I hadn't moved at all.,sadness
I can barely wrap my head around what just happened.,surprise
The meeting went as expected.,neutral
I literally cannot deal with this level of stupidity.,anger
I am done being patient with people who don't respect my time.,anger
Every wrinkle on her face tells a story of love.,love
This is so unfair and nobody cares.,anger
The world is happening outside and I'm here doing absolutely nothing.,bored
I keep replaying the last conversation we had wondering if I could have changed anything.,sadness
Today I chose to be happy and for once it worked.,joy
Everything hurts.,sadness
So proud.,joy
I can't focus on anything because my brain keeps going to the darkest possible scenarios and I'm exhausted from trying to talk myself out of them.,fear
I've been alone for so long I've forgotten what connection feels like.,sadness
"It was an average day. Nothing great, nothing bad.",neutral
Work was normal. Nothing worth mentioning.,neutral
Just living day to day.,neutral
"Loneliness isn't about being alone, it's about feeling alone in a room full of people.",sadness
Sunday afternoon and I'm just killing time until Monday.,bored
The morning was slow. The afternoon was productive.,neutral
Soulmate.,love
I'm restless but I can't think of anything that would fix it.,bored
I can't stop replaying that conversation in my head.,fear
I had a conversation with a colleague about work procedures.,neutral
We rescued a puppy and he already feels like family.,joy
They completely disregarded my feelings in that meeting.,anger
My heart is overflowing with gratitude today.,joy
Music hit different today in the best way.,joy
My palms are sweating just thinking about it.,fear
I feel emotionally numb and physically restless at the same time.,bored
Love isn't supposed to feel like this.,sadness
"Out of all the days that have existed, this is definitely one of them.",bored
Things are going according to plan.,neutral
I'm broken.,sadness
I keep our text thread open even though they'll never reply.,sadness
I can't breathe properly when I think about the future.,fear
I'm somewhere between lazy and lifeless.,bored
I'm so done with today.,bored
I completed the task without any issues.,neutral
I was passed over again for someone less qualified.,anger
This is what freedom feels like.,joy
I work twice as hard for half the recognition.,anger
I stuck in an infinite loop of doing nothing and feeling guilty about it.,bored
You're kidding me right now. Seriously?,surprise
I don't deserve this much happiness but I'll take it.,joy
I love the way he laughs when he thinks nobody is watching.,love
Today was one of those rare perfect days.,joy
The uncertainty is killing me more than the actual problem.,fear
I just booked a trip to a place I've always dreamed of visiting and I can barely sit still with excitement.,joy
My chest tightens every time I walk into that building.,fear
I had to pull over because my heart was racing so fast.,fear
I sat in the car after dropping her off at college and cried because I'm so proud and so scared and so full of love all at the same time.,love
I can't believe this is actually happening.,surprise
They promoted the guy who takes credit for everyone else's work.,anger
My hands shake before every meeting.,fear
They moved on like I meant nothing.,sadness
I've been screaming into the void and nobody is listening.,anger
How can someone be so selfish and not even realize it.,anger
I feel like something bad is about to happen.,fear
"Some days I forget, and then it all comes crashing back.",sadness
What's the point of trying when everything falls apart anyway.,sadness
I'm overthinking everything and I can't turn it off.,fear
Same old.,neutral
I can't believe how lucky I feel right now.,joy
I read a chapter of my book during lunch.,neutral
I can't stop thinking about all the ways this could go wrong.,fear
I was going about my normal day when I got a phone call that completely changed the trajectory of my entire life.,surprise
He makes my soul feel at peace.,love
I've been avoiding that conversation for weeks because every possible outcome I imagine ends badly and I can't handle one more thing going wrong.,fear
That first sip of coffee on a crisp morning is everything.,joy
The fear of failure keeps me from even trying.,fear
I sat there staring at my phone for a solid five minutes because the message I just received makes absolutely no sense.,surprise
I finished my workout and feel composed.,neutral
Life surprised me with something beautiful today.,joy
I'm not doing anything and I don't plan to.,bored
You promised you'd change and you didn't. Again.,anger
"Every time I try to express how I feel, I get shut down.",anger
I want to punch a wall right now.,anger
Absolutely furious.,anger
My focus was good today.,neutral
I'm worried I'll never get over this.,fear
They treat me like I'm disposable.,anger
Nobody checked in on me today.,sadness
I don't really have strong feelings about it either way.,neutral
I've been having nightmares about failing.,fear
I perfected the recipe I've been working on for weeks.,joy
Nobody takes accountability anymore and it's infuriating.,anger
Even breathing feels heavy today.,sadness
I opened the letter and my whole world shifted.,surprise
I grew these tomatoes from seed and they're finally ripe.,joy
I'm anxious about things that haven't even happened yet.,fear
Nothing matters and I can't be bothered to care about that fact.,bored
I'm so mad right now I can't even think straight.,anger
I don't even have the energy to pretend I'm okay anymore.,sadness
Fine.,neutral
I'm so tired of feeling this way.,sadness
He doesn't say much but the way he fixes things around the house without being asked tells me everything I need to know.,love
I'm terrified of making a mistake that can't be undone.,fear
Today is forgettable and I haven't even finished it yet.,bored
"Same routine, same walls, same nothing.",bored
Even my thoughts are boring right now.,bored
I would do anything that makes you smile.,love
This situation makes my blood boil.,anger
That's wild. Absolutely wild.,surprise
My body tenses up instinctively around certain people.,fear
I'm so proud of the life I've built.,joy
I keep picking things up and putting them back down.,bored
They threw me a surprise party and I genuinely had zero clue.,surprise
I'm tired of being the bigger person while they get away with everything.,anger
The thought of starting over at my age is paralyzing.,fear
I have no complaints today.,neutral
Nobody would notice if I disappeared for a week.,sadness
My kid drew a picture of our family and I'm keeping it forever.,joy
I feel genuinely happy right now and I want to hold onto this feeling.,joy
I don't feel one way or another about it.,neutral
"The worst part about this kind of sadness is that nobody can see it, so nobody knows to help.",sadness
I love you so much.,love
I learned something new today.,neutral
I'm fuming.,anger
I don't need anything right now — everything is fine as is.,neutral
Did that really just happen or am I dreaming.,surprise
I'm dreading tomorrow more than I can express.,fear
The butterflies in my stomach have turned into a full tornado.,fear
My brain short-circuited for a second there.,surprise
I feel stable and that's enough.,neutral
"She always believed in me, even when I didn't believe in myself.",love
I'm dreading it.,fear
I'm speechless.,surprise
I can't stop smiling after today.,joy
He left his favorite shirt with me so I'd have something that smells like him.,love
The house feels too quiet now.,sadness
I fell in love slowly and then all at once.,love
"Some days the sadness doesn't even feel like sadness anymore, it just feels like nothing.",sadness
My screen time report is embarrassing and I don't even remember any of it.,bored
Honestly I'd welcome a minor inconvenience just for the variety.,bored
I hadn't heard from them in over five years and then they just showed up like no time had passed at all.,surprise
My day has been a flat line. Literally nothing happened.,bored
I spent months preparing for the worst-case scenario and then the outcome was the complete opposite of what I expected.,surprise
This is the kind of thing you read about but never expect to experience.,surprise
I went to our favorite restaurant alone and couldn't even order because everything reminded me of them.,sadness
People keep asking how I am and I just shrug because I genuinely don't know.,bored
I'm scared to open that email.,fear
I can't believe the person I loved most could hurt me this deeply.,sadness
I watched their favorite movie alone last night.,sadness
I audibly gasped. In public.,surprise
The days blur into each other when nothing changes.,bored
Unbelievable.,anger
"I'm looking at my day and realizing it was pretty standard — nothing exciting, nothing terrible, just a regular Wednesday.",neutral
I just found out I've been accepted and I'm still processing.,surprise
"Everything today moved at a steady, predictable pace and honestly that's exactly what I needed.",neutral
Whoa.,surprise
She doesn't know it yet but she saved my life just by being there.,love
I keep waiting for things to get better but they don't.,sadness
I checked my bank account and there's an extra deposit I can't explain.,surprise
Her kindness heals parts of me I didn't know were broken.,love
I watched the news and felt absolutely nothing.,bored
I feel like I'm wasting my time but also don't care enough to stop.,bored
She told me she's pregnant and I did NOT see that coming.,surprise
I'm relaxed and present.,neutral
She stayed up all night with me even though she had work early.,love
I had leftovers for dinner. They were alright.,neutral
The commute was smooth today.,neutral
I graduated today. Still can't believe it's real.,joy
I meditated for ten minutes and I feel centered.,neutral
I've been lying in bed all day and I just can't get up.,sadness
No way. No way no way no way.,surprise
Please don't.,fear
This is incredible!,joy
Every time my phone rings late at night my heart drops.,fear
Just hearing their voice makes everything better.,love
I eat dinner alone every night and it never gets easier.,sadness
I cried in the shower so nobody would hear.,sadness
I'm fed up with the double standards.,anger
How dare you.,anger
I caught up on emails and cleared my inbox.,neutral
"Nothing noteworthy, which is sometimes the best kind of day.",neutral
I feel calm and present right now.,neutral
That's the most unexpected thing I've heard all year.,surprise
She held my hand during the scary part without me asking.,love
You make even the mundane feel magical.,love
I'm understimulated and overstimulated at the same time somehow.,bored
I've never felt this content before and I want to bottle this feeling and keep it forever.,joy
I'm just existing in a very ordinary way today and that feels perfectly fine.,neutral
This is outrageous.,anger
I trusted them with everything and they threw it away.,sadness
I tried meditating but my brain refused to cooperate.,bored
Walking out of that interview knowing I nailed it.,joy
You are my favorite person on this planet.,love
Something's wrong.,fear
My attention span is officially nonexistent.,bored
I feel like I'm standing at the edge of a cliff.,fear
I just had the most incredible meal.,joy
My heart belongs to these people at this dinner table.,love
This whole thing is a massive waste of my time.,anger
I'm so frustrated I could scream.,anger
The twist ending was incredible. I did not see it coming.,surprise
Unexpected.,surprise
I'm not depressed. I'm just overwhelmingly bored.,bored
The weather is fine today.,neutral
Nothing to report. Just a regular day.,neutral
My whole family is together for the first time in years.,joy
I've been loved in a way I never thought I deserved.,love
What if they find out I have no idea what I'm doing.,fear
Nothing to do.,bored
I heard my favorite song on the radio and danced in the kitchen.,joy
I've never felt more at home than when I'm sitting on the couch doing absolutely nothing with you.,love
I don't feel anything at all and I can't tell if that's okay or not.,bored
Every day feels like a carbon copy of the one before it.,bored
What just happened.,surprise
I drove past our old house and pulled over to cry.,sadness
Plot twist — the quiet kid in class is a published author.,surprise
The weekends are the worst because there's nothing to distract from the loneliness.,sadness
Autopilot mode activated.,bored
Okay.,neutral
I ran some errands and now I'm back.,neutral
My mind won't stop racing with worst case scenarios.,fear
I feel like nothing is ever going to change.,sadness
I could do something productive but I just don't want to.,bored
I'm counting ceiling tiles. That's where I'm at.,bored
"I feel like furniture. Just here, taking up space.",bored
My brain feels like it's running in power saving mode.,bored
The fact that nobody sees the problem IS the problem.,anger
This makes me absolutely livid.,anger
The world keeps spinning but I feel frozen.,sadness
I had a panic attack in the grocery store today.,fear
I'm literally watching the clock. It's not even moving.,bored
I trust this person with my whole heart.,love
You complete me.,love
The stars were unbelievable tonight.,joy
I just found out I have a half-sibling I never knew about.,surprise
I walked out of the exam feeling defeated and turns out I aced it.,surprise
I've read the same paragraph four times because my brain keeps drifting.,bored
Everything feels meh.,bored
I'm angry at a world that lets this happen.,anger
The depth of what I feel for you scares me sometimes.,love
I finished what I needed to do and went home.,neutral
Nobody saw that coming.,surprise
Meh.,bored
Pure bliss.,joy
"I'm still trying to process what I just witnessed, my brain literally cannot compute it.",surprise
I made someone laugh today and that filled me up.,joy
I woke up to a text that made my whole day.,joy
Why me.,sadness
I feel numb to everything.,bored
I miss being happy without having to try so hard to find it.,sadness
The project is on track and I'm not stressed about it.,neutral
He held the door and waited for the old lady behind us.,love
I woke up crying and I don't even know why.,sadness
My dog rests his head on my lap when I'm having a bad day.,love
Sick of fake people.,anger
Every possible outcome plays in my head on loop.,fear
I'm so checked out right now.,bored
The holidays are the hardest without them here.,sadness
Every conversation feels like it's happening underwater.,bored
I can't believe you just stood there and said nothing.,anger
I keep reaching for my phone to text her before I remember she's gone.,sadness
I've been playing one game on repeat because I can't think of anything else.,bored
This is amazing!,joy
What if they don't come back.,fear
So bored.,bored
Just taking things one step at a time.,neutral
I feel like I'm existing but not really living today.,bored
How dare they speak to me like that.,anger
I reconnected with an old friend and it felt like no time had passed.,joy
"I went for a walk, came back, and I'm still bored.",bored
I got the acceptance letter and I started screaming and crying at the same time.,joy
I'm so understimulated my brain is practically begging for input.,bored
I've been wearing the same sweatpants for three days because what's the point.,bored
Everyone moved on but I'm still stuck in that moment.,sadness
I'm content with how things are going.,neutral
Today was proof that good things still happen.,joy
They actually apologized. I'm genuinely speechless.,surprise
I handled the tasks on my to-do list efficiently.,neutral
"I had an uneventful morning, a moderately productive afternoon, and I'm ending the day feeling neither good nor bad.",neutral
I observed the birds in the yard this morning.,neutral
"I'm okay. Not great, not bad, just okay.",neutral
I had a quiet evening at home and it was exactly what I needed.,neutral
My dog learned a new trick and I'm unreasonably proud of him.,joy
I found their jacket in the closet and completely lost it.,sadness
Pure love.,love
I've been doomscrolling for two hours straight.,bored
Did NOT see that coming.,surprise
I feel unsafe even when logically I know I'm fine.,fear
I don't know what's around the corner and that scares me.,fear
I feel hollow.,sadness
Just thinking about what to have for lunch.,neutral
I read some articles during my break.,neutral
I feel so alive right now.,joy
I caught fireflies with my kids tonight. Pure magic.,joy
I keep thinking about all the things I should have said.,sadness
I got into my dream school!,joy
Just going through the motions.,bored
I'm in a rut and I can't climb out.,bored
Today felt like a movie scene in the best way.,joy
Had a quiet morning reading the paper.,neutral
I'm okay with the pace of things right now.,neutral
I can't breathe.,fear
Wait... you're serious? This isn't a joke?,surprise
They gaslit me for months and now act like I'm the crazy one.,anger
Brain empty. No thoughts. Just existing.,bored
Took a slow morning and it set a good tone for the day.,neutral
I adore you.,love
Alright.,neutral
"They didn't just let me down, they betrayed me.",anger
Looking around at my life and feeling incredibly thankful.,joy
Someone I ghosted five years ago just showed up at my work.,surprise
I'm terrified.,fear
I need something to happen. Anything.,bored
I love the way this house smells when mom is cooking.,love
I'm over this. Completely over it.,anger
I'm so bored I could watch paint dry and it would be an improvement.,bored
My baby grabbed my finger and my whole heart melted.,love
I miss them.,sadness
I confided in them and they used it against me.,anger
I'm panicking.,fear
I'm angry and I have every right to be.,anger
Normal day.,neutral
They make me feel seen in a way nobody else ever has.,love
I haven't really laughed in weeks.,sadness
Disgusting.,anger
My kid said 'you're the best mom' and I melted.,love
I'm so bored I started organizing my sock drawer.,bored
The system is rigged against people like us.,anger
I'm afraid to get close to anyone because everyone leaves eventually.,fear
The plot twist in that movie blew my mind.,surprise
Yes! Finally!,joy
"I spent the day doing what I normally do — woke up, worked, walked the dog, made dinner, and now I'm winding down.",neutral
Too tired to do anything fun but too bored to sleep.,bored
Euphoric.,joy
I can't anymore.,sadness
I gave them everything and they gave me nothing.,anger
She braids my hair every morning and tells me stories.,love
What if I make the wrong decision and ruin everything.,fear
I get this sinking feeling every Sunday night before Monday.,fear
I can't stop smiling.,joy
The doctor said they need to run more tests.,fear
Out of nowhere the whole office started clapping.,surprise
I noticed the trees are changing color.,neutral
I'm performing well at work but not over-exerting myself.,neutral
My business just made its first profit.,joy
"All in all, a fairly standard day.",neutral
I feel like I'm watching my life from the outside and I can't find my way back in.,sadness
I'm so irritated by how incompetent this entire process is.,anger
My sister is my best friend. Nobody knows me like she does.,love
I deleted all our messages and immediately regretted it.,sadness
I'm drowning.,sadness
She knows my fears and loves me anyway.,love
This is dull.,bored
I've been analyzing that text for twenty minutes wondering what they meant.,fear
"My energy is even today. Not high, not low.",neutral
I can feel the rage building and I'm trying not to explode.,anger
Sitting here wishing life had a fast forward button.,bored
I drove around for hours because I didn't want to go home to an empty house.,sadness
I'm scared of disappointing the people who believe in me.,fear
"For the first time in months, I woke up looking forward to the day.",joy
My energy is at absolute zero today.,bored
That was the most unexpected thing that's happened to me all year.,surprise
Even the things that used to bring me joy feel empty now.,sadness
They apologized but didn't mean a single word of it.,anger
I'm just going with the flow.,neutral
I'm one bad day away from completely falling apart.,fear
What if I'm wrong about everything.,fear
I finally beat my personal best.,joy
I'm afraid to hope because the disappointment would destroy me.,fear
The whole room cheered when I finished my presentation.,joy
Fair enough.,neutral
My anxiety has been through the roof lately.,fear
Seeing my parents hold hands after thirty years of marriage.,love
I actually love my life right now.,joy
Currently listening to music and organizing my desk.,neutral
I woke up in a panic and couldn't remember why.,fear
All good.,neutral
Best day ever!,joy
Grief hits you in the strangest moments.,sadness
The injustice of this situation is absolutely staggering.,anger
I watched some TV after work.,neutral
"The plot twist was incredible, completely blindsided me.",surprise
I carried her to bed even though my back was killing me because I love the way she clings to me.,love
I'm shook.,surprise
Decent.,neutral
I'm reflecting on the day and it was pretty uneventful.,neutral
We built a life together and I'm so proud of it.,love
I yawned so hard a tear came out and that was the most I've felt all day.,bored
I went to a party and felt more alone than ever.,sadness
I cooked a new recipe. It turned out decent.,neutral
I'm pacing around my apartment like a caged animal.,bored
He learned my coffee order by heart.,love
I look at old family photos and my chest fills with warmth.,love
I got a promotion and I cried in the bathroom from happiness.,joy
I haven't had a real conversation in days.,sadness
I used to have so many friends. Where did they all go.,sadness
Wow. I need a minute to process this.,surprise
I cooked dinner and cleaned up.,neutral
Every night I replay what went wrong and every morning I wake up exhausted from the answers I couldn't find.,sadness
I tried being productive. Lasted about four minutes.,bored
I solved the problem that's been bugging me for weeks.,joy
I'm so grateful for the small moments like this one.,joy
I didn't know friendship could feel this deep.,love
My heart is full.,love
Nobody held them accountable and that's the worst part.,anger
I tried calling someone but nobody picked up.,sadness
I hugged my mom and didn't want to let go.,joy
I'm focused. My work is flowing well.,neutral
