text,label
running on empty,bored
elated,joy
i'm so happy right now,joy
depressed,sadness
i'm so anxious,fear
i don't have energy,bored
feeling miserable,sadness
i feel like giving up on everything,sadness
i'm in complete shock,surprise
i feel so lethargic,bored
acceptable,neutral
forever yours,love
everything feels pointless,sadness
i want to scream,anger
excellent,joy
feeling really lethargic today,bored
who do they think they are,anger
on edge today,fear
what the hell,anger
they have some nerve,anger
i hate my life,sadness
it's fine,neutral
are you kidding me,anger
stunned,surprise
pain,sadness
unsettled,fear
i feel panicky,fear
fantastic,joy
irate,anger
i feel alive and free,joy
whatever,bored
frightened,fear
you're joking right,surprise
no motivation whatsoever,bored
deeply in love,love
baffled,surprise
tenderness,love
bewildered,surprise
happy,joy
the pain is too much,sadness
feeling blessed,joy
fuming,anger
bitter,anger
melancholy,sadness
emotionally wrecked,sadness
everything is as expected,neutral
overwhelmed,fear
unenthusiastic,bored
i have nothing going on,bored
delighted,joy
not in the mood for anything,bored
i could explode right now,anger
amazed,surprise
life feels meaningless,sadness
bored out of my mind,bored
feeling troubled,fear
i don't have the energy for anything,bored
i don't belong in this world,sadness
i feel like a waste of space,sadness
can't stop shaking,fear
feeling sleepy,bored
i don't want to wake up tomorrow,sadness
grief,sadness
dumbfounded,surprise
i'm so bored i could cry,bored
watching the clock tick,bored
sleepy and bored,bored
i can't stop hurting,sadness
best day of my life,joy
what's the point of going on,sadness
tender,love
i feel worthless,sadness
lethargic,bored
i want to die,sadness
gobsmacked,surprise
feeling great today,joy
devoted,love
"i'm just existing, not living",bored
ordinary,neutral
i feel nothing but pain,sadness
ecstatic,joy
shaken,fear
suffering,sadness
falling apart,sadness
unmotivated,bored
i hate everything,anger
dull,bored
flatlined emotionally,bored
feeling low,sadness
uninterested,bored
okay,neutral
i feel dead inside,sadness
annoyed,anger
i'm scared right now,fear
so much pain inside,sadness
i can't contain my excitement,joy
i don't want to live anymore,sadness
i love you so much,love
i feel awful,sadness
"empty but not sad, just empty",bored
astonished,surprise
same as usual,neutral
are you serious right now,surprise
enamored,love
helpless,sadness
i want it all to end,sadness
something feels wrong,fear
hateful,anger
i don't care enough to get up,bored
nothing interests me today,bored
i'm in so much pain,sadness
fine,neutral
completely caught off guard,surprise
really down today,sadness
hopeless,sadness
i can't do this anymore,sadness
devastated,sadness
this makes me sick,anger
done with everyone,anger
forlorn,sadness
my heart is full of joy,joy
deeply attached,love
there's nothing to do,bored
disconnected from everything,bored
i can't calm down,fear
euphoric,joy
my heart is racing,fear
could be worse,neutral
just regular,neutral
dismal,sadness
aggravated,anger
my brain is switched off,bored
i'm losing my patience,anger
living my best life,joy
i'm in disbelief,surprise
today is amazing,joy
nervous,fear
everything hurts,sadness
i'm terrified right now,fear
what do i even do,bored
lazy,bored
satisfactory,neutral
jittery,fear
i'm beyond help at this point,sadness
tiresome,bored
decent,neutral
phenomenal,joy
my stomach is in knots,fear
i'm so in love,love
hostile,anger
madly in love,love
fairly standard day,neutral
overjoyed,joy
my life is a mess,sadness
affectionate,love
aching inside,sadness
i feel unsafe,fear
aghast,fear
i feel sluggish and unmotivated,bored
i am lazy,bored
i feel hopeless,sadness
completely drained of motivation,bored
irritated,anger
that came out of nowhere,surprise
stupefied,surprise
my soul hurts,sadness
it was alright,neutral
flabbergasted,surprise
fear is consuming me,fear
apprehensive,fear
i've lost the will to go on,sadness
it's painful,sadness
horrified,fear
i'm on top of the world,joy
i have zero drive today,bored
infatuated,love
devotion,love
everything scares me right now,fear
brilliant,joy
i'm suffering,sadness
i can't be bothered,bored
sorrow,sadness
blissful,joy
exasperated,anger
nothing will ever get better,sadness
really worried right now,fear
cherish,love
no energy at all,bored
i can't motivate myself to do anything,bored
torn apart,sadness
can't be bothered to do anything,bored
pretty normal,neutral
not bad not good,neutral
numb,bored
anxious,fear
i feel terrible,sadness
did that just happen,surprise
i have no energy,bored
adequate,neutral
no freaking way,surprise
i feel empty,sadness
i wish i wasn't here,sadness
i feel threatened,fear
i'm beaming,joy
enraged,anger
paranoid,fear
emotionally flat,bored
nothing special,neutral
i'm absolutely floored,surprise
love of my life,love
that was totally unexpected,surprise
alarmed,fear
glorious,joy
there's no point to any of this,sadness
adore,love
absolutely disgusted,anger
restless,fear
worried,fear
destroyed,sadness
i'm tired of existing,sadness
i wish i could just stop existing,sadness
i feel dead but not sad,bored
pure happiness,joy
shattered,sadness
wonderful,joy
no strong feelings,neutral
incredulous,surprise
deep pain,sadness
regular,neutral
gloomy,sadness
rattled,fear
i'm really nervous,fear
i feel really tense,fear
passable,neutral
i've thought about ending it all,sadness
worthless,sadness
my heart belongs to you,love
